sku_de,sku_para
# ── OLLIE — Bastão Protetor Solar FPS 95 (OBPSC) ─────────────────────────────
OBPSC10,BR01PM000100
OBPSC20,BR01PM000200
OBPSC30,BR01PM000300
OBPSC40,BR01PM000400
OBPSC50,BR01PM000500
OBPSC60,BR01PM000600
# ── OLLIE — Bastão Multifuncional 3em1 (OBBS / EAN) ──────────────────────────
OBBSAM,BR01XM002600
7898968269255,BR01XM002700
7898968269309,BR01XM002800
OBBSRM,BR01XM002900
7898968269248,BR01XM003000
# ── OLLIE — Hidratante Labial ─────────────────────────────────────────────────
7898968269316,BR01XF003300
# ── OLLIE — Protetor Solar Diverso ───────────────────────────────────────────
OBPSKB,BR01PF003400
OBPSINC,BR01PF003500
7896048609007,BR01PF003600
7898968269286,BR01XM003700
# ── OLLIE — Cremes / Glow ────────────────────────────────────────────────────
OCHDMA,BR01XC003800
OCADOL,BR01XF003900
OGCO60,BR01XC004000
OGFCDO,BR01XM004100
OGFCBR,BR01XM004200
OCHCPS,BR01PC004300
OPSCBIF,BR01PC004400
OFPSMI,BR01PF004500
# ── OLLIE — Amostras Grátis Bastão (AGBPS) ───────────────────────────────────
AGBPS10,BR01AM004700
AGBPS20,BR01AM004800
AGBPS30,BR01AM004900
AGBPS40,BR01AM005000
AGBPS50,BR01AM005100
AGBPS60,BR01AM005200
